,discarded,sigmoid,continuous
180,KCNJ2,EHMT1,
181,ZBTB43,TRRAP,
182,BTBD7,CSMD1,
183,ARHGAP22,CDH23,
184,LCP2,SCAPER,
185,RANBP2,TRAPPC9,
186,SOX4,DLC1,
187,TSHZ2,DYNC2H1,
188,KCNMA1,SETX,
189,CIC,TOP2B,
190,TET3,MGA,
191,ZBED4,GON4L,
192,MYO18A,KIF26B,
193,DNHD1,SCN10A,
194,EP400,ZNF98,
195,KDM6B,CACNA1E,
196,SFN,KCTD8,
197,MYCBP2,OR2M2,
198,CUX2,PLCG2,
199,MYH11,SAGE1,
200,TSHZ1,SGOL2,
201,ATXN1L,CTNND2,
202,CAMTA1,ROCK1,
203,ZFHX4,HIVEP2,
204,DLGAP2,PTCH1,
205,DYRK2,XRN1,
206,TUBGCP6,COL1A1,
207,ADAMTSL4,CDH8,
208,FOLH1,SMAD4,
209,KCNC1,TRPS1,
210,CHL1,VPS13A,
211,C5orf30,ZNF345,
212,DIAPH2,ANKRD18A,
213,BCORL1,CNTNAP2,
214,KEL,ADGRB2,
215,SEC16A,ATAD5,
216,ABCA1,RYR1,
217,SETD1B,MGAM,
218,ANKRD26,PRDM2,
219,DENND5B,NKAPL,
220,ZBTB20,SYNE1,
221,RAI1,NLRP9,
222,BMPR2,TMEM132D,
223,FLRT1,DRD5,
224,TCERG1,KIAA0195,
225,SRRM2,ZC3H13,
226,RELN,SORBS2,
227,IRS4,ATP8B2,
228,CUBN,NCAM2,
229,CDK5R1,ATP6V1B1,
230,TEX15,NINL,
231,KIF16B,DYNC1H1,
232,CCDC108,MYH3,
233,ZNF43,SMAD2,
234,RNF145,ZNF687,
235,MUC5B,ZCCHC11,
236,FBN2,CNTN5,
237,CNTNAP4,PTEN,
238,ABI3BP,GRID2,
239,DNAH1,FLG,
240,SNN,MYO9B,
241,GPR179,NIPBL,
242,FLNC,PIK3R1,
243,CNTNAP5,PITPNM3,
244,CSMD2,RFX7,
245,ZNF664,ARSG,
246,PRND,BCOR,
247,PAX5,CDK5RAP2,
248,VRTN,PTPN13,
249,FCGBP,YLPM1,
250,ARID1B,FAM46D,
251,BTBD11,MXRA5,
252,ARHGAP31,NTM,
253,TNC,KRAS,
254,PRRC2C,ATP8A2,
255,RYR2,DNAH10,
256,BSN,ATM,
257,CCR5,IRS1,
258,VPS13B,PCDH12,
259,AHDC1,ADGRB1,
260,LPPR4,ASH1L,
261,PTPRK,PCDHB6,
262,KMT2B,DNAH8,
263,MEGF8,UTRN,
264,SAMD9L,ANK1,
265,MLLT4,PTPRT,
266,SPEN,TRIM9,
267,CACNA1D,TRANK1,
268,MTUS2,CPAMD8,
269,PPP6R2,ZNF536,
270,WNK2,MYO16,
271,CACNA2D1,FAM135B,
272,AMER1,PTPRC,
273,PPP1R26,ZNF91,
274,NLRP1,ADAMTS20,
275,SPRY3,CKAP5,
276,PRDM9,PCDHB8,
277,TLN1,ZNF804A,
278,NCOR1,DCC,
279,KIAA1456,ABCA4,
280,TRIM13,DCLK1,
281,MAP4K4,CMYA5,
282,DMD,NBAS,
283,OTUD4,SCN11A,
284,EFCAB5,GRIA2,
285,ATG2A,WWC2,
286,DOCK3,NUP210L,
287,BICC1,PKHD1,
288,AMER3,CASC5,
289,OR7D2,MCF2,
290,CROCC,FHOD3,
291,ARL11,PCDHA4,
292,GRM5,ZNF292,
293,SOCS4,GLUD2,
294,SVIL,ROBO2,
295,SALL4,SPEF2,
296,USP27X,TLR9,
297,CEP192,TNKS2,
298,SIPA1L1,F8,
299,KCNQ3,ABCA12,
300,FANCA,DPYD,
301,FBXW7,PPFIA2,
302,FAM43A,RET,
303,PEG10,AP3B1,
304,ZNF623,ABCA9,
305,C5orf42,TRHDE,
306,PTCHD2,BRWD1,
307,CEP162,ZNF443,
308,CTTNBP2,SLIT2,
309,PTPRM,CHD4,
310,COL7A1,STAB2,
311,DENND4B,ASTN2,
312,SMTN,KPRP,
313,USP9X,TP53,
314,SKIDA1,CNTN4,
315,LRRN1,SORCS3,
316,RBM15B,ARHGAP28,
317,SOX11,FBN1,
318,SSC5D,MYO3A,
319,WT1,PREX1,
320,DDX58,RIMS2,
321,MECOM,COLCA2,
322,XYLT2,NIN,
323,DOCK2,TCF7L2,
324,C8orf48,CTNNA2,
325,MAP3K10,PCDHA7,
326,HYDIN,PCDHB3,
327,AFF2,PLCH1,
328,ING3,UNC13A,
329,DOPEY1,TRPC3,
330,NAV2,TLL1,
331,MYADM,ABCA2,
332,DNAH2,DLG2,
333,SCN7A,FAT3,
334,TCHH,OR51E1,
335,SPZ1,FRMPD1,
336,ADAMTSL1,CEP170,
337,TCEB3B,ZXDA,
338,NLRC5,ADAMTS16,
339,DPP6,TRERF1,
340,FNDC1,COL14A1,
341,KIF4B,COL6A3,
342,ABCA3,TRPM2,
343,NPC1L1,TGFBR2,
344,LRRC16B,FHOD1,
345,IGSF9B,PLXNC1,
346,MIR1270,ARPP21,
347,PIKFYVE,NAV3,
348,CTR9,TRO,
349,C3,LRRIQ3,
350,RNF43,TRIM33,
351,PAPPA2,NBEAL2,
352,DYSF,SCN3A,
353,SPN,IGSF9,
354,PCDH15,MTOR,
355,TRPM3,THSD7A,
356,ZNF831,PRRC2B,
357,LTBP2,CEP290,
358,RTL1,MRC1,
359,ACVR2A,NOTCH3,
360,DNAH11,AXIN2,
361,CUL9,KCNA5,
362,CDH10,WDFY4,
363,MYT1L,DSP,
364,ZBTB34,SPTB,
365,NOL6,PAPLN,
366,FUT9,PCDHB2,
367,TTK,SLC25A12,
368,COL11A1,SYCP2,
369,LPAR4,SVEP1,
370,COL6A6,ABCC11,
371,PLEKHA6,MYOM1,
372,TSC1,FMN2,
373,PDZD2,PCDH18,
374,MAB21L2,SCAF4,
375,MAP3K4,KCNH8,
376,RAB6C,GRM7,
377,DOCK9,VPS13C,
378,EGFLAM,DSPP,
379,ZNF416,FSIP2,
380,USH2A,RASGRF1,
381,MYO9A,ADGRL3,
382,SZT2,PARP14,
383,UBR3,PTPRG,
384,BRAF,AKAP12,
385,KIAA1109,IGSF10,
386,DST,HMCN1,
387,UNC80,NPHP4,
388,DAAM2,ROS1,
389,ZFP3,F11,
390,SPTBN5,CDHR3,
391,GPR88,INSRR,
392,MUC16,COL19A1,
393,ASPM,KDM3B,
394,MYH7,RUNX1T1,
395,HCFC1,KCNH7,
396,PCDHA8,BRINP1,
397,ACACB,COL3A1,
398,SLC3A2,MMRN1,
399,CDK12,PCDHGA11,
400,HERC1,KIAA1024,
401,ADGB,DNAH7,
402,BRWD3,DSEL,
403,FBN3,MAP2,
