,discarded,continuous,sigmoid
0,ENSG00000107159,ENSG00000244405,ENSG00000108448
1,ENSG00000170293,ENSG00000273812,ENSG00000189280
2,ENSG00000092470,ENSG00000164825,ENSG00000250829
3,ENSG00000178127,ENSG00000217447,ENSG00000107105
4,ENSG00000125931,ENSG00000154310,ENSG00000250295
5,ENSG00000198732,ENSG00000271851,ENSG00000198944
6,ENSG00000125337,ENSG00000110080,ENSG00000111674
7,ENSG00000177738,ENSG00000184988,ENSG00000134049
8,ENSG00000134504,ENSG00000175063,ENSG00000176945
9,ENSG00000104059,ENSG00000069764,ENSG00000125998
10,ENSG00000113889,ENSG00000118298,ENSG00000140519
11,ENSG00000164070,ENSG00000172831,ENSG00000180801
12,ENSG00000185915,ENSG00000101213,ENSG00000184368
13,,ENSG00000071575,
14,,ENSG00000253844,
15,,ENSG00000180061,
16,,ENSG00000258734,
17,,ENSG00000231784,
18,,ENSG00000279982,
19,,ENSG00000242372,
20,,ENSG00000255737,
21,,ENSG00000106384,
22,,ENSG00000085741,
23,,ENSG00000214192,
24,,ENSG00000099834,
25,,ENSG00000268516,
26,,ENSG00000101850,
27,,ENSG00000273183,
28,,ENSG00000204386,
29,,ENSG00000230563,
30,,ENSG00000188338,
31,,ENSG00000154889,
32,,ENSG00000205181,
33,,ENSG00000101639,
34,,ENSG00000160862,
35,,ENSG00000164675,
36,,ENSG00000145824,
37,,ENSG00000068784,
38,,ENSG00000186564,
39,,ENSG00000213937,
40,,ENSG00000185133,
41,,ENSG00000187193,
42,,ENSG00000131620,
43,,ENSG00000064195,
44,,ENSG00000151490,
45,,ENSG00000260704,
46,,ENSG00000175329,
47,,ENSG00000007216,
48,,ENSG00000131015,
49,,ENSG00000198756,
50,,ENSG00000104870,
51,,ENSG00000246705,
52,,ENSG00000158292,
53,,ENSG00000111860,
54,,ENSG00000141446,
55,,ENSG00000124469,
56,,ENSG00000165548,
57,,ENSG00000180316,
58,,ENSG00000187608,
59,,ENSG00000172482,
60,,ENSG00000141380,
61,,ENSG00000096968,
62,,ENSG00000168447,
63,,ENSG00000262188,
