,discarded,continuous,sigmoid
64,,ENSG00000205277,
65,,ENSG00000043591,
66,,ENSG00000149289,
67,,ENSG00000132199,
68,,ENSG00000180758,
69,,ENSG00000147454,
70,,ENSG00000125970,
71,,ENSG00000197818,
72,,ENSG00000261801,
73,,ENSG00000118705,
74,,ENSG00000178821,
75,,ENSG00000114113,
76,,ENSG00000138100,
77,,ENSG00000174332,
78,,ENSG00000138735,
79,,ENSG00000156966,
80,,ENSG00000126709,
81,,ENSG00000175387,
82,,ENSG00000133131,
83,,ENSG00000240024,
84,,ENSG00000137251,
85,,ENSG00000049130,
86,,ENSG00000198353,
87,,ENSG00000142959,
88,,ENSG00000164484,
89,,ENSG00000181392,
90,,ENSG00000186115,
91,,ENSG00000171877,
92,,ENSG00000101773,
93,,ENSG00000253958,
94,,ENSG00000165521,
95,,ENSG00000246465,
96,,ENSG00000165828,
97,,ENSG00000265943,
98,,ENSG00000171811,
99,,ENSG00000211448,
100,,ENSG00000164920,
101,,ENSG00000129048,
102,,ENSG00000060566,
103,,ENSG00000112208,
104,,ENSG00000112773,
105,,ENSG00000114812,
106,,ENSG00000162946,
107,,ENSG00000259275,
108,,ENSG00000033170,
109,,ENSG00000257671,
110,,ENSG00000142609,
111,,ENSG00000169242,
112,,ENSG00000269155,
113,,ENSG00000101473,
114,,ENSG00000144355,
115,,ENSG00000272945,
116,,ENSG00000277873,
117,,ENSG00000101470,
118,,ENSG00000173930,
119,,ENSG00000180767,
120,,ENSG00000227359,
121,,ENSG00000258483,
122,,ENSG00000198807,
123,,ENSG00000254503,
124,,ENSG00000116711,
125,,ENSG00000101076,
126,,ENSG00000103485,
127,,ENSG00000176225,
128,,ENSG00000278238,
129,,ENSG00000148734,
130,,ENSG00000187372,
131,,ENSG00000272549,
132,,ENSG00000101558,
133,,ENSG00000158480,
134,,ENSG00000186094,
135,,ENSG00000183734,
136,,ENSG00000276672,
137,,ENSG00000057593,
138,,ENSG00000101057,
139,,ENSG00000134265,
140,,ENSG00000122035,
141,,ENSG00000154122,
142,,ENSG00000178093,
143,,ENSG00000241186,
144,,ENSG00000127585,
145,,ENSG00000015413,
146,,ENSG00000138074,
147,,ENSG00000100593,
148,,ENSG00000229314,
149,,ENSG00000224511,
150,,ENSG00000233503,
151,,ENSG00000237732,
152,,ENSG00000271824,
153,,ENSG00000101574,
154,,ENSG00000109101,
155,,ENSG00000126003,
156,,ENSG00000251667,
157,,ENSG00000185803,
158,,ENSG00000214049,
159,,ENSG00000137171,
160,,ENSG00000172818,
161,,ENSG00000235505,
162,,ENSG00000164626,
163,,ENSG00000106565,
164,,ENSG00000148426,
165,,ENSG00000280079,
166,,ENSG00000174521,
167,,ENSG00000109794,
168,,ENSG00000265681,
169,,ENSG00000120685,
170,,ENSG00000243364,
171,,ENSG00000275236,
172,,ENSG00000112414,
173,,ENSG00000139540,
174,,ENSG00000236155,
175,,ENSG00000145349,
176,,ENSG00000276476,
177,,ENSG00000270170,
178,,ENSG00000168065,
179,,ENSG00000064601,
180,,ENSG00000069493,
181,,ENSG00000257176,
182,,ENSG00000229953,
183,,ENSG00000257556,
184,,ENSG00000078043,
185,,ENSG00000106605,
186,,ENSG00000278291,
187,,ENSG00000130303,
188,,ENSG00000177721,
189,,ENSG00000230330,
190,,ENSG00000254290,
191,,ENSG00000257512,
192,,ENSG00000198221,
193,,ENSG00000104756,
194,,ENSG00000137203,
195,,ENSG00000147804,
196,,ENSG00000091138,
197,,ENSG00000101084,
198,,ENSG00000173080,
199,,ENSG00000187017,
200,,ENSG00000280083,
201,,ENSG00000259321,
202,,ENSG00000166869,
203,,ENSG00000170122,
204,,ENSG00000137198,
205,,ENSG00000102445,
206,,ENSG00000170921,
207,,ENSG00000146521,
208,,ENSG00000181652,
209,,ENSG00000171928,
210,,ENSG00000168237,
211,,ENSG00000002933,
212,,ENSG00000132801,
213,,ENSG00000136943,
214,,ENSG00000101752,
215,,ENSG00000236772,
216,,ENSG00000109321,
217,,ENSG00000272502,
218,,ENSG00000223534,
219,,ENSG00000101624,
220,,ENSG00000160951,
221,,ENSG00000100342,
222,,ENSG00000139219,
223,,ENSG00000137563,
224,,ENSG00000188687,
225,,ENSG00000073060,
226,,ENSG00000172782,
227,,ENSG00000178015,
228,,ENSG00000128683,
229,,ENSG00000225889,
230,,ENSG00000134759,
231,,ENSG00000083720,
232,,ENSG00000128610,
233,,ENSG00000168631,
234,,ENSG00000170677,
235,,ENSG00000196730,
236,,ENSG00000108244,
237,,ENSG00000130590,
238,,ENSG00000268756,
239,,ENSG00000171314,
240,,ENSG00000163995,
241,,ENSG00000185880,
