,pathway_id,pathway_name,metabolite,genes_uniprot,genes_symbol,q_value
0,R-HSA-8953854,Metabolism of RNA,CHEBI:16027,"Q9BVC5, Q9Y224",,0.00910926820270519
1,R-HSA-597592,Post-translational protein modification,CHEBI:16680,"Q9H867, O60678",,0.18014002293022707
