promoter,Cecum,Ascending colon,Hepatic flexure of colon,Transverse colon,Descending colon,Sigmoid colon,Rectosigmoid junction,"Rectum, NOS"
KLHL17_1,0.2272676462553225,0.229886611719372,0.228077330669483,0.224473394752758,0.227173201237934,0.2281563722920745,0.214518738467402,0.2148374703550405
HES4_1,0.039598066277181,0.040711312423256,0.03675840240571,0.0402288074182349,0.037136313740359,0.038783664623891,0.03577610404838,0.037374689271804
ISG15_2,0.025847953815778,0.0265112305299565,0.025510423582584,0.0270695037682695,0.024011545567389,0.025857457886079,0.023807532184179,0.02401412973449
ISG15_1,0.0841278000505245,0.0827746671367445,0.083751235189443,0.0805758767454845,0.087345745082325,0.0841648520713705,0.094417135149762,0.091570771355166
AGRN_1,0.0423073193290125,0.042316527292451,0.041964811831165,0.0427071844493519,0.038007644924341,0.04139856804858,0.038278615902254,0.0385575052109229
TNFRSF18_3,0.072440416997191,0.079373145783166,0.057415485445566,0.062679360971161,0.06295688887405,0.0654753383844645,0.071393432730517,0.06778248743241
TNFRSF18_1,0.2169263456219765,0.2197081412087955,0.187160553344748,0.2170328308796115,0.187869911561797,0.201776935090021,0.192425294767065,0.193597065127337
TNFRSF18_2,0.2494829506040675,0.254522818262595,0.214940384310549,0.2500158330583,0.216587574946229,0.232518892883474,0.222024219432858,0.223480291300061
SDF4_1,0.307965504844402,0.3097396728111035,0.332775169097607,0.2978287554672915,0.319585131318071,0.31626343821728,0.292974757528749,0.2912346476674869
SDF4_2,0.339247642275566,0.3102755206345114,0.237841020307956,0.3559147619644185,0.30994226377251,0.311272377754195,0.285353186311881,0.3085028644123485
UBE2J2_1,0.211310705389355,0.202249104867805,0.207677272284025,0.2102945826457435,0.202696339521434,0.202313602036993,0.193497190600036,0.203549988431526
ACAP3_3,0.122381835924946,0.1365440059119725,0.100214719788459,0.08821451344299,0.114969867094435,0.1481117301186795,0.156868526117602,0.112351666252849
ACAP3_1,0.0366165653977255,0.0352427777360015,0.036275500974872,0.0360855664984365,0.033569017786836,0.036693963396147,0.035022309497621,0.0343207922443655
PUSL1_2,0.0339642385459545,0.0329716530543245,0.0333879878256,0.0323430921889655,0.031225073997758,0.0335200535772915,0.032207726525855,0.0316637332109765
PUSL1_1,0.032084915762464,0.0313081751242615,0.031381238145133,0.030809990642658,0.029386056167179,0.032368943380504,0.031036579085474,0.030866578910318
INTS11_1,0.017632547376762,0.0174793443053905,0.016625629439888,0.01833861845425,0.01736854524747,0.0172904049565415,0.017073163573032,0.016320618466549
DVL1_1,0.021833908625036,0.0220684762385245,0.022780666532452,0.0209946873979105,0.0206033170353,0.022011702612575,0.020102398455557,0.0195099340156469
AURKAIP1_1,0.0533764881651979,0.0559085135679235,0.054093281431577,0.05199574036872,0.054698405324829,0.0561837108592015,0.056287208213991,0.0543488032232985
AURKAIP1_2,0.036365457195797,0.0371921648727285,0.037806695549107,0.0368065290568075,0.033090584210608,0.039316952555803,0.037193322611232,0.035762184625795
CCNL2_1,0.027762333448734,0.0283044511276505,0.026899315909468,0.0263127985671345,0.024655250049169,0.028357945403713,0.027463858504028,0.027896719888239
MRPL20_1,0.0367092504153715,0.039538258841297,0.036528689067521,0.0355743783318725,0.040420333346432,0.036600858065293,0.045867730288125,0.0412250901064805
VWA1_1,0.1239236970474375,0.1009485934335855,0.106417995318277,0.1487298463266514,0.127849014826282,0.1569637767478945,0.153595334100515,0.1218617350581135
ATAD3B_1,0.024196998745748,0.023840410951037,0.025353204913474,0.02274025605133,0.022478097545381,0.02415681020715,0.021219234456351,0.0210665637868235
ATAD3A_1,0.067598220724221,0.06701246541965,0.066674104130615,0.0663661859662115,0.06652242996193,0.0678090714205845,0.063204734376275,0.0648061464957355
SSU72_2,0.03950938017152,0.0397592679509355,0.037839007135593,0.0405428833507415,0.036416036284843,0.0395902502841949,0.038056397071925,0.0395263452029164
SSU72_1,0.03950938017152,0.0397592679509355,0.037839007135593,0.0405428833507415,0.036416036284843,0.0395902502841949,0.038056397071925,0.0395263452029164
MIB2_1,0.0286498540157735,0.0280750604748305,0.027500855741368,0.027912639105175,0.026441080484916,0.0285424877673235,0.026808981888041,0.0267559799484944
CDK11B_1,0.0388660826521915,0.0388612443753125,0.038368666295613,0.038373214996154,0.035521612997827,0.039006022433738,0.036856999648093,0.0364505280343865
CDK11B_3,0.011693043209298,0.011478054979773,0.012196296547402,0.011741568443237,0.01124528195595,0.0118515965541745,0.011612394704821,0.011158817979665
CDK11A_1,0.2271323351508455,0.233546231247246,0.200222302385546,0.220608034594526,0.224318279534492,0.2136034843524775,0.203909101158991,0.196549895190382
NADK_2,0.041226712426313,0.0406906119128255,0.0374125824966,0.0422141240242525,0.039904616604476,0.040359551803956,0.040179715418563,0.0393787341607575
