,discarded,sigmoid,continuous
60,,ENSG00000255062,ENSG00000128045
61,,ENSG00000226491,ENSG00000124228
62,,ENSG00000196741,ENSG00000225194
63,,ENSG00000226833,ENSG00000260727
64,,ENSG00000223865,ENSG00000217241
65,,ENSG00000228526,ENSG00000248690
66,,ENSG00000243904,ENSG00000064652
67,,ENSG00000254682,ENSG00000177173
68,,ENSG00000198464,ENSG00000146216
69,,ENSG00000172164,ENSG00000185105
70,,ENSG00000104808,ENSG00000278330
71,,ENSG00000154832,ENSG00000133985
72,,ENSG00000270503,ENSG00000124193
73,,ENSG00000247400,ENSG00000128283
74,,ENSG00000210077,ENSG00000025772
75,,ENSG00000123178,ENSG00000231389
76,,ENSG00000176343,ENSG00000272024
77,,ENSG00000012211,ENSG00000230626
78,,ENSG00000094755,ENSG00000124299
79,,ENSG00000253676,ENSG00000275236
80,,ENSG00000087086,ENSG00000244242
81,,ENSG00000203326,ENSG00000204257
82,,ENSG00000275512,ENSG00000272567
83,,ENSG00000235043,ENSG00000262370
84,,ENSG00000074855,ENSG00000078401
85,,ENSG00000258365,ENSG00000203876
86,,ENSG00000053770,ENSG00000272030
87,,ENSG00000185624,ENSG00000229178
88,,ENSG00000096070,ENSG00000253716
89,,ENSG00000170382,ENSG00000160224
90,,ENSG00000161920,ENSG00000167996
91,,ENSG00000134440,ENSG00000258521
92,,ENSG00000149679,ENSG00000131379
93,,ENSG00000044574,ENSG00000236833
94,,ENSG00000267898,ENSG00000230753
95,,ENSG00000231530,ENSG00000162998
96,,ENSG00000249306,ENSG00000088305
97,,ENSG00000169026,ENSG00000122862
98,,ENSG00000171858,ENSG00000180938
99,,ENSG00000278338,ENSG00000147164
100,,ENSG00000101109,ENSG00000261575
101,,ENSG00000177854,ENSG00000197122
102,,ENSG00000226624,ENSG00000101350
103,,ENSG00000161082,ENSG00000236281
104,,ENSG00000166913,ENSG00000215349
105,,ENSG00000054793,ENSG00000123870
106,,ENSG00000122042,ENSG00000233111
107,,ENSG00000187630,ENSG00000279345
108,,ENSG00000100600,ENSG00000107537
109,,ENSG00000214290,ENSG00000176268
110,,ENSG00000166595,ENSG00000127870
111,,ENSG00000189077,ENSG00000174365
112,,ENSG00000205978,ENSG00000268970
113,,ENSG00000232369,ENSG00000235505
114,,,ENSG00000197296
115,,,ENSG00000064195
116,,,ENSG00000077348
117,,,ENSG00000245293
118,,,ENSG00000256045
119,,,ENSG00000213058
120,,,ENSG00000260442
121,,,ENSG00000146054
122,,,ENSG00000101413
123,,,ENSG00000111666
124,,,ENSG00000267288
125,,,ENSG00000122432
126,,,ENSG00000214711
127,,,ENSG00000214297
128,,,ENSG00000228150
129,,,ENSG00000183831
130,,,ENSG00000213062
131,,,ENSG00000154122
132,,,ENSG00000134817
133,,,ENSG00000184530
134,,,ENSG00000141574
135,,,ENSG00000210112
136,,,ENSG00000089558
137,,,ENSG00000104341
138,,,ENSG00000214846
139,,,ENSG00000118939
140,,,ENSG00000225163
141,,,ENSG00000241258
142,,,ENSG00000160293
143,,,ENSG00000275793
144,,,ENSG00000185825
145,,,ENSG00000239908
146,,,ENSG00000276791
147,,,ENSG00000125352
148,,,ENSG00000185404
149,,,ENSG00000164626
150,,,ENSG00000138074
151,,,ENSG00000179057
152,,,ENSG00000154310
153,,,ENSG00000130699
154,,,ENSG00000136040
155,,,ENSG00000163995
156,,,ENSG00000069493
157,,,ENSG00000081277
158,,,ENSG00000116017
159,,,ENSG00000188825
160,,,ENSG00000101337
161,,,ENSG00000078699
162,,,ENSG00000000460
163,,,ENSG00000175344
164,,,ENSG00000100336
165,,,ENSG00000261455
166,,,ENSG00000145949
167,,,ENSG00000101333
168,,,ENSG00000164920
169,,,ENSG00000126218
170,,,ENSG00000236772
171,,,ENSG00000167065
172,,,ENSG00000181392
173,,,ENSG00000168243
174,,,ENSG00000233503
175,,,ENSG00000206573
176,,,ENSG00000257616
