,discarded,sigmoid,continuous
48,,ENSG00000163053,ENSG00000258521
49,,ENSG00000234118,ENSG00000276791
50,,ENSG00000243056,ENSG00000115297
51,,ENSG00000170485,ENSG00000162998
52,,ENSG00000241269,ENSG00000101350
53,,ENSG00000275202,ENSG00000256050
54,,ENSG00000170791,ENSG00000101413
55,,ENSG00000259659,ENSG00000233111
56,,ENSG00000142875,ENSG00000279459
57,,ENSG00000140368,ENSG00000276571
58,,ENSG00000270503,ENSG00000023445
59,,ENSG00000197444,ENSG00000104341
60,,ENSG00000188828,ENSG00000251400
61,,ENSG00000141579,ENSG00000279345
62,,ENSG00000260618,ENSG00000262370
63,,ENSG00000234062,ENSG00000248278
64,,ENSG00000226833,ENSG00000272030
65,,ENSG00000272625,ENSG00000147164
66,,ENSG00000158578,ENSG00000109625
67,,ENSG00000154832,ENSG00000275236
68,,ENSG00000279225,ENSG00000187595
69,,ENSG00000181234,ENSG00000214297
70,,ENSG00000172164,ENSG00000272024
71,,ENSG00000104808,ENSG00000235505
72,,ENSG00000182957,ENSG00000134508
73,,ENSG00000243904,ENSG00000261575
74,,ENSG00000100979,ENSG00000122862
75,,ENSG00000232369,ENSG00000269388
76,,ENSG00000235043,ENSG00000272282
77,,ENSG00000210077,ENSG00000248787
78,,ENSG00000197766,ENSG00000146216
79,,ENSG00000138031,ENSG00000124228
80,,ENSG00000087086,ENSG00000250208
81,,ENSG00000187630,ENSG00000122035
82,,ENSG00000275512,ENSG00000185825
83,,ENSG00000166913,ENSG00000167996
84,,ENSG00000096070,ENSG00000241258
85,,ENSG00000134440,ENSG00000064652
86,,ENSG00000258365,ENSG00000181418
87,,ENSG00000161920,ENSG00000228150
88,,ENSG00000226624,ENSG00000184530
89,,ENSG00000249306,ENSG00000267288
90,,ENSG00000198780,ENSG00000226937
91,,ENSG00000166595,ENSG00000239908
92,,ENSG00000176343,ENSG00000106069
93,,ENSG00000122042,ENSG00000228889
94,,ENSG00000012211,ENSG00000125970
95,,ENSG00000074855,ENSG00000272556
96,,ENSG00000217258,ENSG00000143226
97,,ENSG00000185624,ENSG00000176490
98,,ENSG00000203326,ENSG00000128045
99,,ENSG00000189077,ENSG00000196126
100,,ENSG00000123178,ENSG00000099937
101,,ENSG00000101109,ENSG00000245293
