,sigmoid,discarded,continuous
0,17p,,4p
1,20p,,4q
2,1p,,5q
3,9q,,10q
4,15q,,11p
5,,,11q
6,,,18q
7,,,6q
8,,,8p
9,,,14q
10,,,18p
