,sigmoid,discarded,continuous
123,PAIP2_1,,FKBP1B_1
124,RBM27_1,,FAM228B_1
125,SYNPO_1,,ADCY3_1
126,UBTD2_4,,RAB10_4
127,UBTD2_2,,ABHD1_1
128,RNF44_2,,EIF2B4_1
129,ZFP2_1,,PLB1_2
130,HIST1H3B_1,,PPP1CB_3
131,FLOT1_1,,YIPF4_1
132,APOM_1,,CEBPZ_1
133,FANCE_1,,DHX57_1
134,SRPK1_2,,ZFP36L2_1
135,STK38_2,,FBXO11_1
136,STK38_1,,ASB3_1
137,PPP2R5D_1,,SPTBN1_1
138,CENPQ_1,,CCDC88A_1
139,PAQR8_1,,CCT4_1
140,MANEA_1,,EHBP1_1
141,PRDM1_1,,EHBP1_2
142,CEP57L1_1,,CYP26B1_1
143,DSE_2,,FBXO41_1
144,PTPRK_1,,CCDC142_1
145,RPS12_1,,HK2_1
146,ARFGEF3_1,,REG3G_1
147,EPM2A_3,,TRABD2A_1
148,SASH1_2,,ELMOD3_1
149,CCDC170_1,,C2orf68_1
150,DYNLT1_1,,ATOH8_3
151,SLC22A3_1,,RNF103_6
152,MLLT4_3,,KCNIP3_2
153,GPER1_1,,NEURL3_1
154,PHF14_1,,LIPT1_1
155,ETV1_3,,MRPL30_2
156,HOXA10_6,,REV1_1
157,LSM5_1,,CREG2_1
158,BBS9_3,,FHL2_1
159,COBL_2,,POLR1B_2
160,GTF2IRD1_1,,POLR1B_1
161,GTF2IRD1_2,,CKAP2L_1
162,MOGAT3_1,,CCDC93_1
163,ATXN7L1_2,,MYO7B_1
164,ATXN7L1_1,,POLR2D_1
165,TSPAN12_2,,CCDC115_3
166,CADPS2_1,,NCKAP5_3
167,FLNC_1,,CXCR4_1
168,FLNC_2,,ACVR2A_2
169,TMEM140_1,,MBD5_1
170,ACTR3C_3,,LYPD6B_2
171,SMARCD3_1,,LYPD6B_1
172,ERICH1_1,,PLA2R1_1
173,MSRA_1,,DPP4_2
174,INTS9_1,,NOSTRIN_1
175,KIF13B_1,,SPC25_1
176,MAK16_2,,CYBRD1_1
177,THAP1_1,,SP3_3
178,RB1CC1_1,,HOXD8_1
179,LYPLA1_1,,PDE11A_1
180,LYPLA1_2,,RBM45_1
181,HNF4G_3,,NEUROD1_1
182,GEM_1,,NCKAP1_1
183,C8orf37_2,,ZC3H15_1
184,NDUFB9_1,,FAM171B_1
185,OPLAH_1,,HSPD1_1
186,DOCK8_4,,HSPD1_2
187,DOCK8_1,,SPATS2L_3
188,PLGRKT_3,,TRAK2_1
189,PSIP1_1,,EEF1B2_2
190,DCAF12_1,,EEF1B2_1
191,STOML2_1,,FZD5_1
192,APBA1_1,,SPAG16_1
193,ABHD17B_1,,XRCC5_1
194,DAPK1_1,,PNKD_2
195,DAPK1_2,,PID1_1
196,IPPK_2,,SP110_1
197,ERCC6L2_1,,SP110_2
198,CDC26_2,,DGKD_2
199,TNFSF15_1,,HJURP_1
200,ABO_1,,AGAP1_1
201,ABO_2,,RAB17_2
202,TMEM141_1,,ASB1_3
203,PIP4K2A_1,,ASB1_2
204,YME1L1_2,,SEPT2_2
205,ZNF22_1,,ING5_1
206,ADAMTS14_1,,CRBN_1
207,CHCHD1_1,,SUMF1_1
208,ADIRF_1,,VGLL4_2
209,LIPA_2,,METTL6_1
210,ENTPD7_1,,EFHB_1
211,DNMBP_1,,STT3B_1
212,DNMBP_2,,MYRIP_1
213,CHUK_1,,TRAK1_1
214,CWF19L1_1,,CCR1_1
215,KAZALD1_4,,LRRC2_2
216,BTRC_1,,P4HTM_2
217,CALHM2_1,,MON1A_1
218,GSTO1_2,,TMEM115_1
219,GRK5_1,,ACY1_2
220,ZNF511_1,,ALAS1_1
221,IFITM3_1,,PPM1M_1
222,IGF2_5,,THOC7_2
223,KCNQ1_1,,PSMD6_1
224,CYB5R2_1,,CLDND1_5
225,RIC3_2,,FILIP1L_1
226,SERGEF_1,,TOMM70_1
227,BDNF_3,,ADGRG7_2
228,LRP4_1,,ALCAM_2
229,MED19_1,,ABHD10_1
230,TMX2_1,,GRAMD1C_2
231,PLCB3_1,,CCDC58_2
232,MAP4K2_1,,HSPBAP1_3
233,FIBP_1,,PDIA5_1
234,SSH3_1,,MGLL_2
235,GAL_1,,KBTBD12_1
236,ANO1_1,,KIAA1257_1
237,ANO1_4,,RAB43_2
238,SERPINH1_3,,TMCC1_2
239,RSF1_2,,DNAJC13_1
240,CREBZF_1,,DNAJC13_2
241,RAB38_1,,AMOTL2_1
242,PIWIL4_1,,XRN1_1
243,BIRC2_2,,ATR_1
244,BCL9L_1,,PLS1_1
245,RPS25_2,,PCOLCE2_1
246,HYOU1_1,,PCOLCE2_2
247,DPAGT1_1,,HPS3_1
248,MSANTD2_1,,TSC22D2_1
249,PRDM10_4,,TSC22D2_3
250,CD9_1,,ERICH6_1
251,LTBR_2,,SIAH2_1
252,PRR4_1,,IGSF10_1
253,RECQL_1,,TIPARP_2
254,BHLHE41_3,,SMC4_1
255,INTS13_1,,ZBBX_1
256,PKP2_1,,SERPINI1_1
257,RPAP3_1,,ZMAT3_1
258,RHEBL1_1,,USP13_1
259,KRT78_2,,ALG3_2
260,PRR13_2,,EIF4G1_2
261,TARBP2_1,,LPP_1
262,NCKAP1L_3,,MB21D2_2
263,BLOC1S1_1,,MB21D2_1
264,BLOC1S1_3,,RNF168_1
265,PMEL_2,,PIGX_1
266,COQ10A_2,,ZNF721_2
267,GLS2_1,,DGKQ_2
268,GLS2_2,,TMEM129_1
269,MDM2_1,,TNIP2_1
270,LGR5_1,,SH3BP2_3
271,LGR5_2,,WFS1_1
272,TBC1D15_1,,MRFAP1_1
273,GLIPR1L1_1,,KIAA0232_1
274,SYT1_1,,TBC1D14_1
275,POLR3B_1,,ACOX3_1
276,IFT81_1,,BOD1L1_1
277,PPP1CC_1,,FGFBP2_1
278,RASAL1_1,,SOD3_1
279,TBX3_3,,RBPJ_3
280,TBX3_1,,CORIN_1
281,SETD1B_4,,TEC_1
282,RSRC2_1,,ZAR1_1
283,PUS1_1,,FRYL_1
284,PUS1_2,,SCFD2_2
285,MIPEP_1,,PDGFRA_5
286,PARP4_1,,REST_1
287,DIS3_1,,REST_2
288,METTL3_1,,MTHFD2L_1
289,STXBP6_2,,G3BP2_1
290,ARF6_2,,STBD1_2
291,RBM25_1,,SEPT11_1
292,GTF2A1_1,,PRDM8_2
293,CALM1_1,,LIN54_1
294,CCDC88C_3,,CDS1_1
295,PPP2R5C_2,,CDS1_2
296,CDCA4_1,,CCSER1_1
297,TJP1_1,,CCSER1_2
298,DLL4_2,,H2AFZ_1
299,ITPKA_1,,UBE2D3_3
300,TYRO3_1,,UBE2D3_2
301,FRMD5_1,,SLC9B1_1
302,DIS3L_1,,CCDC109B_1
303,DIS3L_2,,PLA2G12A_1
304,MESP1_1,,CAMK2D_1
305,NR2F2_3,,PRSS12_1
306,TELO2_1,,JADE1_2
307,TELO2_2,,RXFP1_1
308,FLYWCH1_2,,C4orf46_2
309,POLR3E_1,,NEK1_1
310,RBBP6_1,,CEP44_3
311,LCMT1_2,,NEIL3_1
312,LCMT1_1,,ING2_3
313,PRR14_2,,LRP2BP_2
314,ZNF629_2,,LRRC14B_1
315,TMEM188_2,,PAPD7_1
316,ARL2BP_1,,OTULIN_1
317,SETD6_1,,GOLPH3_1
318,TK2_2,,MTMR12_1
319,PHLPP2_1,,TARS_1
320,ATP2C2_1,,NIPBL_2
321,ZDHHC7_1,,TTC33_1
322,PELP1_1,,FST_1
323,CAMTA2_1,,NDUFS4_1
324,RNASEK_1,,GPBP1_1
325,TNFSF13_4,,PDE4D_2
326,TNFSF13_3,,ERBIN_3
327,TRAPPC1_1,,CCNB1_1
328,GAS7_6,,AK6_1
329,ADORA2B_2,,TAF9_1
330,ADORA2B_1,,TNPO1_2
331,TTC19_2,,FCHO2_1
332,TTC19_1,,BTF3_1
333,NCOR1_1,,RASGRF2_1
334,FLCN_1,,RPS23_2
335,DHRS11_1,,ATP6AP1L_1
336,KRT17_1,,RGMB_2
337,MPP3_1,,FAM174A_1
338,TMUB2_1,,NUDT12_1
339,PRR15L_1,,REEP5_2
340,SKAP1_1,,AP3S1_1
341,NGFR_1,,DTWD2_1
342,MAP3K3_1,,TNFAIP8_1
343,SMARCD2_3,,SNX2_1
344,SMARCD2_2,,ALDH7A1_1
345,HELZ_2,,PPP2CA_1
346,C17orf58_1,,UBE2B_1
347,COG1_1,,BRD8_2
348,SLC16A5_1,,FAM13B_2
349,NPLOC4_2,,SRA1_1
350,SECTM1_1,,NR3C1_7
351,NARF_1,,SH3RF2_2
352,ANKRD12_4,,TCERG1_1
353,PPP4R1_1,,PCYOX1L_1
354,DSC2_2,,TCOF1_1
355,DSC2_3,,RPS14_1
356,ATP5A1_1,,DCTN4_1
357,ZNF532_1,,FAM114A2_1
358,TIMM13_2,,SAP30L_1
359,SEMA6B_1,,RNF145_1
360,RPL36_1,,ADRA1B_1
361,CARM1_1,,PTTG1_1
362,CARM1_2,,FBXW11_1
363,ECSIT_1,,FBXW11_2
364,GADD45GIP1_1,,PHYKPL_1
365,MRI1_1,,CLK4_3
366,SAMD1_2,,TRIM41_1
367,DNAJB1_1,,SERPINB9_1
368,SLC5A5_1,,PXDC1_2
369,GRAMD1A_1,,FARS2_2
370,ALKBH6_1,,NRN1_1
371,ZNF850_1,,CAGE1_3
372,ZNF585B_1,,TFAP2A_2
373,SPINT2_2,,TFAP2A_3
374,C19orf33_3,,LRRC16A_2
375,ECH1_2,,LRRC16A_1
376,PSMC4_1,,ZNF165_1
377,RAB4B_1,,GNL1_1
378,TMEM91_4,,DDR1_1
379,RPS19_1,,VARS2_1
380,RABAC1_1,,VARS2_2
381,ATP1A3_1,,NFKBIL1_1
382,ERF_2,,ZBTB12_2
383,PLAUR_1,,NOTCH4_2
384,ZNF230_1,,GPSM3_3
385,PPP1R13L_3,,TAP1_1
386,DMWD_2,,HLA-DPA1_1
387,CRX_1,,SLC39A7_1
388,FCGRT_1,,TAPBP_1
389,IRF3_1,,SRPK1_1
390,ZNF432_1,,PNPLA1_1
391,ZNF584_1,,KCTD20_2
392,SDCBP2_2,,CPNE5_3
393,SDCBP2_3,,KIF6_1
394,CDC25B_1,,SRF_2
395,CDC25B_3,,MRPL14_1
396,SEL1L2_2,,MEP1A_1
397,ACSS1_1,,TRAM2_1
398,XKR7_1,,ICK_1
399,E2F1_1,,GCM1_1
400,AHCY_1,,LRRC1_2
401,CSTF1_2,,TINAG_1
402,EDN3_2,,RAB23_2
403,SYCP2_2,,FBXL4_1
404,SYCP2_1,,FAXC_1
405,PRPF6_1,,PRDM1_3
406,CYYR1_1,,AIM1_2
407,DNAJC28_2,,AIM1_3
408,ITSN1_2,,CD164_1
409,SETD4_2,,MICAL1_3
410,HLCS_1,,MICAL1_2
411,ATP6V1E1_1,,MICAL1_1
412,TUBA8_2,,MARCKS_1
413,UFD1L_1,,PKIB_1
414,GP1BB_2,,NCOA7_4
415,LZTR1_1,,STX7_1
416,ZNF280B_1,,AHI1_1
417,GAS2L1_2,,BCLAF1_1
