,species,genus
84096,Gordonia_alkanivorans,Gordonia
84109,Slackia_exigua,Slackia
84110,Slackia_heliotrinireducens,Slackia
84112,Eggerthella_lenta,Eggerthella
84163,Cryptobacterium_curtum,Cryptobacterium
313598,Polaribacter_sp._MED152,Polaribacter
2378,Sporomusa_ovata,Sporomusa
51663,Pediococcus_damnosus,Pediococcus
150055,Streptococcus_lutetiensis,Streptococcus
84531,Lysobacter_antibioticus,Lysobacter
166486,Roseburia_intestinalis,Roseburia
1215089,Planococcus_halocryophilus,Planococcus
2702,Gardnerella_vaginalis,Gardnerella
658088,Lachnospiraceae_bacterium_9_1_43BFAA,Lachnospiraceae
658089,Lachnospiraceae_bacterium_5_1_63FAA,Lachnospiraceae
658082,Lachnospiraceae_bacterium_2_1_58FAA,Lachnospiraceae
658083,Lachnospiraceae_bacterium_6_1_63FAA,Lachnospiraceae
658081,Lachnospiraceae_bacterium_1_1_57FAA,Lachnospiraceae
658086,Lachnospiraceae_bacterium_3_1_57FAA_CT1,Lachnospiraceae
658087,Lachnospiraceae_bacterium_7_1_58FAA,Lachnospiraceae
658085,Lachnospiraceae_bacterium_5_1_57FAA,Lachnospiraceae
35517,[Eubacterium]_brachy,[Eubacterium]
2757,Brochothrix_campestris,Brochothrix
674529,Bacteroides_faecis,Bacteroides
1346286,Dysgonomonas_macrotermitis,Dysgonomonas
281362,Dechloromonas_denitrificans,Dechloromonas
1133319,Bacteroides_reticulotermitis,Bacteroides
133926,Olsenella_uli,Olsenella
52022,Meiothermus_silvanus,Meiothermus
871325,Bacteroides_faecichinchillae,Bacteroides
871324,Bacteroides_stercorirosoris,Bacteroides
52133,Acinetobacter_venetianus,Acinetobacter
35760,Bifidobacterium_choerinum,Bifidobacterium
314319,Prolixibacter_bellariivorans,Prolixibacter
35825,Pseudobacteroides_cellulosolvens,Pseudobacteroides
52227,Prevotella_dentalis,Prevotella
52229,[Hallella]_seregens,[Hallella]
658457,Pseudomonas_composti,Pseudomonas
461876,Alkaliphilus_oremlandii,Alkaliphilus
265291,Comamonas_badia,Comamonas
592978,Ruminococcus_faecis,Ruminococcus
101564,Pseudomonas_alcaliphila,Pseudomonas
265429,Silanimonas_lenta,Silanimonas
658655,Lachnospiraceae_bacterium_1_4_56FAA,Lachnospiraceae
445709,Pandoraea_thiooxydans,Pandoraea
232721,Acidovorax_sp._JS42,Acidovorax
281920,Porphyromonas_uenonis,Porphyromonas
1297750,Bacteroides_luti,Bacteroides
347481,Asticcacaulis_benevestitus,Asticcacaulis
134534,Acinetobacter_gyllenbergii,Acinetobacter
511435,Candidatus_Azobacteroides_pseudotrichonymphae,Candidatus
134605,Fusobacterium_equinum,Fusobacterium
52773,Actinomyces_meyeri,Actinomyces
85643,Thauera_sp._MZ1T,Thauera
85698,Achromobacter_xylosoxidans,Achromobacter
167642,Ilyobacter_polytropus,Ilyobacter
741091,Rahnella_sp._Y9602,Rahnella
151276,Bacteroides_coprosuis,Bacteroides
282402,Prevotella_multiformis,Prevotella
216903,Chryseobacterium_molle,Chryseobacterium
85831,Bacteroides_acidifaciens,Bacteroides
1118061,Alistipes_obesi,Alistipes
36745,Clostridium_saccharoperbutylacetonicum,Clostridium
479117,Brevibacterium_ravenspurgense,Brevibacterium
217031,Bacillus_galactosidilyticus,Bacillus
36822,Gordonia_rubripertincta,Gordonia
36845,Clostridium_intestinale,Clostridium
53254,Bosea_thiooxidans,Bosea
36873,Paraburkholderia_xenovorans,Paraburkholderia
36874,Porphyromonas_cangingivalis,Porphyromonas
36875,Porphyromonas_canoris,Porphyromonas
53332,Desulfobulbus_elongatus,Desulfobulbus
53346,Enterococcus_mundtii,Enterococcus
53408,Pseudomonas_citronellolis,Pseudomonas
53422,Thermobrachium_celere,Thermobrachium
69823,Selenomonas_sputigena,Selenomonas
69825,[Clostridium]_indolis,[Clostridium]
446660,Adlercreutzia_equolifaciens,Adlercreutzia
53443,Blautia_hydrogenotrophica,Blautia
53446,Streptomyces_cinnamoneus,Streptomyces
53462,Mycobacterium_mageritense,Mycobacterium
626940,Phascolarctobacterium_succinatutens,Phascolarctobacterium
626929,Bacteroides_clarus,Bacteroides
626931,Bacteroides_oleiciplenus,Bacteroides
626930,Bacteroides_fluxus,Bacteroides
626933,Odoribacter_laneus,Odoribacter
626932,Alistipes_indistinctus,Alistipes
626935,Collinsella_tanakaei,Collinsella
626934,Slackia_piriformis,Slackia
332056,Sphingobium_japonicum,Sphingobium
151895,Pseudopedobacter_saltans,Pseudopedobacter
119219,Cupriavidus_metallidurans,Cupriavidus
430522,Pedobacter_steynii,Pedobacter
168384,Marvinbryantia_formatexigens,Marvinbryantia
266762,Porphyromonas_gingivicanis,Porphyromonas
168471,Laribacter_hongkongensis,Laribacter
397865,Barnesiella_viscericola,Barnesiella
86665,Bacillus_halodurans,Bacillus
53972,Rhodococcus_corynebacterioides,Rhodococcus
545533,Alishewanella_jeotgali,Alishewanella
37752,Flavobacterium_hibernum,Flavobacterium
152480,Burkholderia_ambifaria,Burkholderia
185293,Prevotella_oryzae,Prevotella
185300,Paludibacter_propionicigenes,Paludibacter
37915,Dietzia_maris,Dietzia
37919,Rhodococcus_opacus,Rhodococcus
37928,Arthrobacter_crystallopoietes,Arthrobacter
283734,Staphylococcus_pseudintermedius,Staphylococcus
70775,Pseudomonas_plecoglossicida,Pseudomonas
70863,Shewanella_oneidensis,Shewanella
169292,Corynebacterium_aurimucosum,Corynebacterium
70995,Lewinella_cohaerens,Lewinella
284016,Phenylobacterium_zucineum,Phenylobacterium
103817,Janibacter_terrae,Janibacter
38284,Corynebacterium_accolens,Corynebacterium
284042,Streptomyces_violaceorubidus,Streptomyces
38288,Corynebacterium_genitalium,Corynebacterium
38303,Corynebacterium_pseudogenitalium,Corynebacterium
38313,Shewanella_algae,Shewanella
54736,Salmonella_bongori,Salmonella
169435,Anaerotruncus_colihominis,Anaerotruncus
1463837,Streptomyces_sp._NRRL_B-3253,Streptomyces
333367,[Clostridium]_asparagiforme,[Clostridium]
136857,Corynebacterium_testudinoris,Corynebacterium
415425,Flavobacterium_terrae,Flavobacterium
87883,Burkholderia_multivorans,Burkholderia
71657,Lonsdalea_quercina,Lonsdalea
1661050,Pseudomonas_sp._NBRC_111135,Pseudomonas
1661055,Pseudomonas_sp._NBRC_111140,Pseudomonas
1661032,Pseudomonas_sp._NBRC_111117,Pseudomonas
39029,Megasphaera_cerevisiae,Megasphaera
596085,Prevotella_aurantiaca,Prevotella
1661059,Pseudomonas_sp._NBRC_111144,Pseudomonas
202955,Acinetobacter_tjernbergiae,Acinetobacter
202952,Acinetobacter_gerneri,Acinetobacter
202956,Acinetobacter_towneri,Acinetobacter
55508,Janthinobacterium_agaricidamnosum,Janthinobacterium
301301,Roseburia_hominis,Roseburia
301302,Roseburia_faecis,Roseburia
1071390,Acinetobacter_sp._NBRC_100985,Acinetobacter
743722,Sphingobacterium_sp._21,Sphingobacterium
71999,Kocuria_palustris,Kocuria
88431,Dorea_longicatena,Dorea
154046,Hungatella_hathewayi,Hungatella
1776082,Shigella_sp._SF-2015,Shigella
1038856,Planococcus_plakortidis,Planococcus
39480,[Eubacterium]_angustum,[Eubacterium]
39482,[Eubacterium]_contortum,[Eubacterium]
39485,[Eubacterium]_eligens,[Eubacterium]
39486,Dorea_formicigenerans,Dorea
39488,[Eubacterium]_hallii,[Eubacterium]
39491,[Eubacterium]_rectale,[Eubacterium]
39496,Eubacterium_ventriosum,Eubacterium
121428,Sphingobium_xenophagum,Sphingobium
219748,Clostridium_tunisiense,Clostridium
334542,Rhodococcus_qingshengii,Rhodococcus
1055487,Methylotenera_versatilis,Methylotenera
39777,Veillonella_atypica,Veillonella
351091,Oscillibacter_valericigenes,Oscillibacter
89051,Gordonia_desulfuricans,Gordonia
89053,Gordonia_amicalis,Gordonia
1235990,Candidatus_Pantoea_carbekii,Candidatus
39950,Dialister_pneumosintes,Dialister
252966,Mahella_australiensis,Mahella
187452,Pediococcus_claussenii,Pediococcus
89152,[Clostridium]_hiranonis,[Clostridium]
204038,Dickeya_dadantii,Dickeya
236814,Chryseobacterium_formosense,Chryseobacterium
40214,Acinetobacter_johnsonii,Acinetobacter
40215,Acinetobacter_junii,Acinetobacter
40216,Acinetobacter_radioresistens,Acinetobacter
253245,Owenweeksia_hongkongensis,Owenweeksia
908612,Alistipes_sp._HGB5,Alistipes
138595,Olsenella_profusa,Olsenella
105841,Anaerostipes_caccae,Anaerostipes
302449,Corynebacterium_tuscaniense,Corynebacterium
40324,Stenotrophomonas_maltophilia,Stenotrophomonas
73098,Kluyvera_georgiana,Kluyvera
1465754,Alistipes_timonensis,Alistipes
155077,Cellvibrio_japonicus,Cellvibrio
40520,Blautia_obeum,Blautia
40545,Sutterella_wadsworthensis,Sutterella
384638,[Bacteroides]_pectinophilus,[Bacteroides]
237258,Cloacibacterium_normanense,Cloacibacterium
204516,Bacteroides_massiliensis,Bacteroides
745310,Sphingomonas_sp._MM-1,Sphingomonas
172042,Rothia_aeria,Rothia
270351,Methylobacterium_aquaticum,Methylobacterium
286730,Alkaliflexus_imshenetskii,Alkaliflexus
237610,Pseudomonas_psychrotolerans,Pseudomonas
106588,Pseudoflavonifractor_capillosus,Pseudoflavonifractor
106590,Cupriavidus_necator,Cupriavidus
106649,Acinetobacter_guillouiae,Acinetobacter
106648,Acinetobacter_bereziniae,Acinetobacter
106654,Acinetobacter_nosocomialis,Acinetobacter
270498,Catabacter_hongkongensis,Catabacter
41170,Exiguobacterium_acetylicum,Exiguobacterium
41276,Brevundimonas_vesicularis,Brevundimonas
762210,Bifidobacterium_saguini,Bifidobacterium
57706,Citrobacter_braakii,Citrobacter
762212,Bifidobacterium_biavatii,Bifidobacterium
74311,Brevundimonas_bacteroides,Brevundimonas
74313,Brevundimonas_subvibrioides,Brevundimonas
1122943,Pedobacter_oryzae,Pedobacter
598660,Corynebacterium_pyruviciproducens,Corynebacterium
74426,Collinsella_aerofaciens,Collinsella
271091,Psychrilyobacter_atlanticus,Psychrilyobacter
58138,Desulfotomaculum_acetoxidans,Desulfotomaculum
58352,Kitasatospora_mediocidica,Kitasatospora
189426,Paenibacillus_odorifer,Paenibacillus
41976,Porphyromonas_catoniae,Porphyromonas
271420,Pseudomonas_xanthomarina,Pseudomonas
1041504,Candidatus_Arthromitus_sp._SFB-rat-Yit,Candidatus
206041,Flavobacterium_gelidilacus,Flavobacterium
238834,Clostridium_estertheticum,Clostridium
1484053,Mariniphaga_anaerophila,Mariniphaga
189722,Prevotella_marshii,Prevotella
