bacteria,Cecum,Ascending colon,Hepatic flexure of colon,Transverse colon,Descending colon,Sigmoid colon,Rectosigmoid junction,"Rectum, NOS"
17,0.2400000000000002,0.2400000000000002,0.1299999999999999,0.28000000000000025,0.1499999999999999,0.29000000000000004,0.29000000000000004,0.28000000000000025
65552,0.25,0.29000000000000004,0.18999999999999995,0.26000000000000023,0.18000000000000016,0.30000000000000027,0.33000000000000007,0.31000000000000005
24,0.25,0.2200000000000002,0.16000000000000014,0.25,0.16999999999999993,0.26000000000000023,0.3500000000000001,0.26000000000000023
51,0.29000000000000004,0.27,0.16000000000000014,0.31000000000000005,0.1499999999999999,0.33000000000000007,0.31000000000000005,0.26000000000000023
180282,0.31000000000000005,0.29000000000000004,0.22999999999999998,0.29000000000000004,0.16999999999999993,0.28000000000000025,0.31999999999999984,0.28000000000000025
69,0.27,0.30000000000000027,0.1499999999999999,0.27,0.16000000000000014,0.31000000000000005,0.33000000000000007,0.31000000000000005
180332,0.27,0.25,0.1200000000000001,0.25,0.10999999999999988,0.29000000000000004,0.28000000000000025,0.31000000000000005
475254,0.25,0.27,0.10999999999999988,0.26000000000000023,0.1499999999999999,0.33000000000000007,0.33999999999999986,0.33000000000000007
49338,0.2400000000000002,0.2400000000000002,0.14000000000000012,0.2400000000000002,0.10000000000000009,0.27,0.27,0.28000000000000025
1671366,0.2400000000000002,0.26000000000000023,0.1200000000000001,0.2400000000000002,0.06999999999999984,0.29000000000000004,0.31999999999999984,0.30000000000000027
228,0.2400000000000002,0.22999999999999998,0.1299999999999999,0.25,0.18999999999999995,0.27,0.31999999999999984,0.29000000000000004
33011,1.21,0.98,1.5,1.11,2.7,1.0300000000000002,2.37,2.1
65786,0.26000000000000023,0.2400000000000002,0.1200000000000001,0.18999999999999995,0.14000000000000012,0.27,0.31999999999999984,0.31000000000000005
254,0.27,0.22999999999999998,0.10999999999999988,0.20000000000000018,0.16999999999999993,0.29000000000000004,0.33000000000000007,0.33000000000000007
147709,0.27,0.28000000000000025,0.10999999999999988,0.26000000000000023,0.18000000000000016,0.31000000000000005,0.33000000000000007,0.31999999999999984
33033,0.41000000000000014,0.48,0.3500000000000001,0.3799999999999999,0.29000000000000004,0.3900000000000001,0.33999999999999986,0.31999999999999984
33038,0.45999999999999996,0.3999999999999999,0.26000000000000023,0.3999999999999999,0.31000000000000005,0.3900000000000001,0.3900000000000001,0.43999999999999995
33039,0.30000000000000027,0.31999999999999984,0.25,0.33999999999999986,0.2400000000000002,0.31999999999999984,0.33000000000000007,0.3799999999999999
33043,0.31000000000000005,0.29000000000000004,0.29000000000000004,0.30000000000000027,0.1499999999999999,0.30000000000000027,0.22999999999999998,0.31000000000000005
33051,0.29000000000000004,0.29000000000000004,0.2200000000000002,0.3599999999999999,0.18000000000000016,0.31000000000000005,0.30000000000000027,0.30000000000000027
285,0.41999999999999993,0.45999999999999996,0.3599999999999999,0.7600000000000002,0.41999999999999993,0.48,0.5,0.5100000000000002
287,0.27,0.28000000000000025,0.1200000000000001,0.20000000000000018,0.040000000000000036,0.31000000000000005,0.3599999999999999,0.33000000000000007
292,0.28000000000000025,0.27,0.1299999999999999,0.26000000000000023,0.2200000000000002,0.31000000000000005,0.3599999999999999,0.31000000000000005
293,0.33000000000000007,0.26000000000000023,0.22999999999999998,0.28000000000000025,0.20999999999999996,0.28000000000000025,0.33000000000000007,0.33000000000000007
294,0.22999999999999998,0.25,0.14000000000000012,0.2400000000000002,0.06999999999999984,0.29000000000000004,0.31999999999999984,0.31000000000000005
300,0.3599999999999999,0.30000000000000027,0.22999999999999998,0.25,0.20000000000000018,0.33999999999999986,0.3700000000000001,0.33000000000000007
33069,0.27,0.26000000000000023,0.18000000000000016,0.27,0.18000000000000016,0.33999999999999986,0.31000000000000005,0.30000000000000027
303,0.30000000000000027,0.31000000000000005,0.2200000000000002,0.28000000000000025,0.1299999999999999,0.29000000000000004,0.29000000000000004,0.3500000000000001
305,0.26000000000000023,0.26000000000000023,0.1200000000000001,0.27,0.18000000000000016,0.28000000000000025,0.28000000000000025,0.31000000000000005
316,0.52,0.43000000000000016,0.3999999999999999,0.3900000000000001,0.3500000000000001,0.6200000000000001,0.5800000000000001,0.6400000000000001
317,0.26000000000000023,0.22999999999999998,0.14000000000000012,0.25,0.08999999999999986,0.29000000000000004,0.29000000000000004,0.31000000000000005
329,3.8,3.56,4.13,3.66,4.32,3.1,3.81,3.23
346,0.28000000000000025,0.27,0.20000000000000018,0.3900000000000001,0.2200000000000002,0.31999999999999984,0.30000000000000027,0.31999999999999984
360807,0.3999999999999999,0.4900000000000002,0.3599999999999999,0.4700000000000002,0.3900000000000001,0.41000000000000014,0.3999999999999999,0.43000000000000016
98672,0.2400000000000002,0.2400000000000002,0.1299999999999999,0.2400000000000002,0.10999999999999988,0.27,0.30000000000000027,0.29000000000000004
408,0.2400000000000002,0.2400000000000002,0.14000000000000012,0.2400000000000002,0.10999999999999988,0.27,0.30000000000000027,0.29000000000000004
414,0.2400000000000002,0.25,0.1499999999999999,0.25,0.08000000000000007,0.29000000000000004,0.27,0.28000000000000025
415,0.25,0.2400000000000002,0.1299999999999999,0.25,0.1200000000000001,0.27,0.31000000000000005,0.30000000000000027
426,0.2400000000000002,0.2400000000000002,0.14000000000000012,0.25,0.10999999999999988,0.27,0.30000000000000027,0.29000000000000004
438,0.25,0.25,0.1299999999999999,0.25,0.10000000000000009,0.28000000000000025,0.26000000000000023,0.29000000000000004
446,0.2400000000000002,0.22999999999999998,0.14000000000000012,0.2400000000000002,0.1499999999999999,0.27,0.30000000000000027,0.28000000000000025
360911,0.26000000000000023,0.2400000000000002,0.1299999999999999,0.22999999999999998,0.08999999999999986,0.29000000000000004,0.31999999999999984,0.31000000000000005
470,3.89,3.62,4.71,3.46,4.7,3.81,4.390000000000001,3.63
471,0.2400000000000002,0.27,0.1299999999999999,0.26000000000000023,0.1299999999999999,0.30000000000000027,0.29000000000000004,0.31000000000000005
476,0.26000000000000023,0.22999999999999998,0.14000000000000012,0.20999999999999996,0.10999999999999988,0.27,0.30000000000000027,0.29000000000000004
410072,0.5300000000000002,0.5899999999999999,1.12,0.5300000000000002,0.3999999999999999,0.41000000000000014,0.5100000000000002,0.5899999999999999
511,0.31000000000000005,0.25,0.16000000000000014,0.27,0.10000000000000009,0.31000000000000005,0.30000000000000027,0.31000000000000005
246272,0.26000000000000023,0.25,0.1299999999999999,0.26000000000000023,0.14000000000000012,0.28000000000000025,0.33999999999999986,0.31000000000000005
518,0.25,0.2400000000000002,0.1299999999999999,0.25,0.10999999999999988,0.28000000000000025,0.31000000000000005,0.29000000000000004
