,discarded,sigmoid,continuous
170,,,ENSG00000244005
171,,,ENSG00000242372
172,,,ENSG00000189280
173,,,ENSG00000237686
174,,,ENSG00000184979
175,,,ENSG00000236772
176,,,ENSG00000272754
177,,,ENSG00000134444
178,,,ENSG00000162746
179,,,ENSG00000169026
180,,,ENSG00000257616
181,,,ENSG00000197208
182,,,ENSG00000232369
183,,,ENSG00000101639
184,,,ENSG00000141429
185,,,ENSG00000069493
186,,,ENSG00000246705
187,,,ENSG00000101294
188,,,ENSG00000205978
189,,,ENSG00000152234
190,,,ENSG00000170471
191,,,ENSG00000250461
192,,,ENSG00000231530
193,,,ENSG00000101187
194,,,ENSG00000163584
195,,,ENSG00000148734
196,,,ENSG00000085741
197,,,ENSG00000205181
198,,,ENSG00000197818
199,,,ENSG00000181392
200,,,ENSG00000278576
201,,,ENSG00000168060
202,,,ENSG00000170677
203,,,ENSG00000197971
204,,,ENSG00000220472
205,,,ENSG00000182366
206,,,ENSG00000235043
207,,,ENSG00000250329
208,,,ENSG00000250568
209,,,ENSG00000161082
210,,,ENSG00000231133
211,,,ENSG00000116017
212,,,ENSG00000168243
213,,,ENSG00000210077
214,,,ENSG00000214192
215,,,ENSG00000170382
216,,,ENSG00000272945
217,,,ENSG00000197766
218,,,ENSG00000198881
219,,,ENSG00000256356
220,,,ENSG00000066735
221,,,ENSG00000255650
222,,,ENSG00000250829
223,,,ENSG00000053770
224,,,ENSG00000138031
225,,,ENSG00000179057
226,,,ENSG00000272382
227,,,ENSG00000261438
228,,,ENSG00000115919
229,,,ENSG00000203995
230,,,ENSG00000164920
231,,,ENSG00000127989
232,,,ENSG00000267898
233,,,ENSG00000164867
234,,,ENSG00000126264
235,,,ENSG00000129521
236,,,ENSG00000184988
237,,,ENSG00000168631
238,,,ENSG00000275223
239,,,ENSG00000259456
240,,,ENSG00000087086
241,,,ENSG00000250548
242,,,ENSG00000187630
243,,,ENSG00000134758
244,,,ENSG00000275512
245,,,ENSG00000132199
246,,,ENSG00000169253
247,,,ENSG00000164591
248,,,ENSG00000130699
249,,,ENSG00000145949
250,,,ENSG00000242028
251,,,ENSG00000257176
252,,,ENSG00000141179
253,,,ENSG00000101193
254,,,ENSG00000188883
255,,,ENSG00000094755
256,,,ENSG00000226284
257,,,ENSG00000249574
258,,,ENSG00000126218
259,,,ENSG00000223685
260,,,ENSG00000138074
261,,,ENSG00000197406
262,,,ENSG00000214290
263,,,ENSG00000171291
264,,,ENSG00000259321
265,,,ENSG00000213363
266,,,ENSG00000166913
267,,,ENSG00000000460
268,,,ENSG00000101473
269,,,ENSG00000096070
270,,,ENSG00000119915
271,,,ENSG00000136040
272,,,ENSG00000124226
273,,,ENSG00000101391
274,,,ENSG00000261455
275,,,ENSG00000213988
276,,,ENSG00000101782
277,,,ENSG00000221944
278,,,ENSG00000163071
279,,,ENSG00000101574
