,discarded,continuous,sigmoid
0,ENSG00000134504,ENSG00000183734,ENSG00000257512
1,ENSG00000164484,ENSG00000106384,ENSG00000187193
2,ENSG00000257671,ENSG00000101558,ENSG00000257556
3,ENSG00000175387,ENSG00000109101,ENSG00000137563
4,ENSG00000186094,ENSG00000257176,ENSG00000101639
5,ENSG00000085741,ENSG00000261801,ENSG00000235043
6,ENSG00000180316,ENSG00000242372,ENSG00000116711
7,ENSG00000107159,ENSG00000198221,ENSG00000114473
8,ENSG00000271824,ENSG00000101057,ENSG00000101574
9,ENSG00000171877,ENSG00000178093,ENSG00000133943
10,ENSG00000148734,ENSG00000236155,ENSG00000165810
11,ENSG00000223534,ENSG00000104870,ENSG00000102043
12,ENSG00000170293,ENSG00000145824,ENSG00000165828
13,ENSG00000083720,ENSG00000158480,ENSG00000227695
14,ENSG00000185880,ENSG00000260727,ENSG00000206838
15,ENSG00000125337,ENSG00000033170,ENSG00000265681
16,ENSG00000178821,ENSG00000101624,ENSG00000114113
17,ENSG00000217447,ENSG00000236772,ENSG00000254503
18,ENSG00000177738,ENSG00000131620,ENSG00000162882
19,ENSG00000233503,ENSG00000099834,ENSG00000230563
20,ENSG00000205277,ENSG00000169242,ENSG00000134324
21,ENSG00000174332,ENSG00000196730,ENSG00000072210
22,ENSG00000160951,ENSG00000231784,ENSG00000087302
23,ENSG00000104059,ENSG00000096968,ENSG00000270170
24,ENSG00000244405,ENSG00000120685,ENSG00000253829
25,ENSG00000180758,ENSG00000163995,ENSG00000145860
26,ENSG00000164070,ENSG00000104899,ENSG00000262188
27,ENSG00000131015,,ENSG00000251667
28,ENSG00000178127,,ENSG00000198881
29,ENSG00000165521,,ENSG00000186812
30,ENSG00000145349,,ENSG00000183773
31,ENSG00000172782,,ENSG00000212371
32,ENSG00000112414,,ENSG00000225889
33,ENSG00000101084,,ENSG00000142959
34,ENSG00000250829,,ENSG00000241186
35,ENSG00000254290,,ENSG00000184984
36,ENSG00000071575,,ENSG00000111674
37,ENSG00000168447,,ENSG00000203995
38,ENSG00000092470,,ENSG00000184368
39,ENSG00000189280,,ENSG00000172602
40,ENSG00000164675,,ENSG00000268225
41,ENSG00000134049,,ENSG00000007216
42,ENSG00000112208,,ENSG00000130590
43,ENSG00000068784,,ENSG00000187984
44,ENSG00000139219,,ENSG00000036672
45,ENSG00000186564,,ENSG00000141179
46,ENSG00000112773,,ENSG00000178015
47,ENSG00000124469,,ENSG00000164626
48,ENSG00000260704,,ENSG00000260916
49,ENSG00000214049,,ENSG00000096088
50,ENSG00000185915,,ENSG00000181291
51,ENSG00000180767,,ENSG00000130821
52,ENSG00000237732,,ENSG00000114859
53,ENSG00000101773,,ENSG00000101473
54,ENSG00000137171,,ENSG00000269155
55,ENSG00000118298,,ENSG00000272549
56,ENSG00000147804,,ENSG00000232653
57,ENSG00000181392,,ENSG00000137198
58,ENSG00000197818,,ENSG00000122121
59,ENSG00000129048,,ENSG00000165269
60,ENSG00000229314,,ENSG00000172818
61,ENSG00000253844,,ENSG00000167220
62,ENSG00000170921,,ENSG00000217275
63,ENSG00000125931,,ENSG00000160862
64,ENSG00000198807,,ENSG00000225953
65,ENSG00000101076,,ENSG00000043591
66,ENSG00000103485,,ENSG00000186204
67,ENSG00000100593,,ENSG00000272502
68,ENSG00000148426,,ENSG00000278576
69,ENSG00000230330,,ENSG00000175600
70,ENSG00000279982,,ENSG00000279225
71,ENSG00000198732,,ENSG00000267249
72,ENSG00000198353,,ENSG00000170017
73,ENSG00000168631,,ENSG00000180801
74,ENSG00000069764,,ENSG00000120149
75,ENSG00000102445,,ENSG00000168065
76,ENSG00000141446,,ENSG00000251493
77,ENSG00000164825,,ENSG00000237424
78,ENSG00000137251,,ENSG00000257322
79,ENSG00000113889,,ENSG00000280331
80,ENSG00000172482,,ENSG00000198756
81,,,ENSG00000183145
82,,,ENSG00000226284
83,,,ENSG00000112195
84,,,ENSG00000171928
85,,,ENSG00000258483
86,,,ENSG00000278238
87,,,ENSG00000101470
88,,,ENSG00000268756
89,,,ENSG00000133131
90,,,ENSG00000183831
91,,,ENSG00000170122
92,,,ENSG00000263393
93,,,ENSG00000101464
94,,,ENSG00000166750
