,discarded,continuous,sigmoid
95,,,ENSG00000173930
96,,,ENSG00000160345
97,,,ENSG00000188338
98,,,ENSG00000267898
99,,,ENSG00000182240
100,,,ENSG00000272434
101,,,ENSG00000212664
102,,,ENSG00000179918
103,,,ENSG00000212993
104,,,ENSG00000162643
105,,,ENSG00000119042
106,,,ENSG00000067057
107,,,ENSG00000137203
108,,,ENSG00000101850
109,,,ENSG00000253958
110,,,ENSG00000171811
111,,,ENSG00000273812
112,,,ENSG00000101342
113,,,ENSG00000197408
114,,,ENSG00000232671
115,,,ENSG00000146521
116,,,ENSG00000078043
117,,,ENSG00000164379
118,,,ENSG00000196091
119,,,ENSG00000276476
120,,,ENSG00000134759
121,,,ENSG00000136943
122,,,ENSG00000049130
123,,,ENSG00000254505
124,,,ENSG00000230316
125,,,ENSG00000186115
126,,,ENSG00000142609
127,,,ENSG00000263050
128,,,ENSG00000271888
129,,,ENSG00000138074
130,,,ENSG00000224594
131,,,ENSG00000086548
132,,,ENSG00000138735
133,,,ENSG00000214192
134,,,ENSG00000198846
135,,,ENSG00000172831
136,,,ENSG00000183850
137,,,ENSG00000104756
138,,,ENSG00000243007
139,,,ENSG00000280079
140,,,ENSG00000165548
141,,,ENSG00000276672
142,,,ENSG00000227359
143,,,ENSG00000170537
144,,,ENSG00000187017
145,,,ENSG00000197208
146,,,ENSG00000160867
147,,,ENSG00000176945
148,,,ENSG00000204991
149,,,ENSG00000132199
150,,,ENSG00000077713
151,,,ENSG00000125534
152,,,ENSG00000104643
153,,,ENSG00000164920
154,,,ENSG00000153303
155,,,ENSG00000105388
156,,,ENSG00000273183
157,,,ENSG00000177788
158,,,ENSG00000184945
159,,,ENSG00000139540
160,,,ENSG00000268516
161,,,ENSG00000120875
162,,,ENSG00000109794
163,,,ENSG00000259321
164,,,ENSG00000163501
165,,,ENSG00000164488
166,,,ENSG00000188372
167,,,ENSG00000189077
168,,,ENSG00000128610
169,,,ENSG00000175329
170,,,ENSG00000002933
171,,,ENSG00000273523
172,,,ENSG00000125998
173,,,ENSG00000138100
174,,,ENSG00000214290
175,,,ENSG00000205181
176,,,ENSG00000154889
177,,,ENSG00000091640
178,,,ENSG00000100600
179,,,ENSG00000088325
180,,,ENSG00000110195
181,,,ENSG00000108244
182,,,ENSG00000188064
183,,,ENSG00000174521
184,,,ENSG00000258900
185,,,ENSG00000181652
186,,,ENSG00000246465
187,,,ENSG00000223813
188,,,ENSG00000226624
189,,,ENSG00000268926
190,,,ENSG00000166828
191,,,ENSG00000246705
192,,,ENSG00000170382
193,,,ENSG00000159147
194,,,ENSG00000089101
195,,,ENSG00000107105
196,,,ENSG00000250295
197,,,ENSG00000091138
198,,,ENSG00000258734
